symbol	panels	version
B4GALT1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
B4GALT7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
B4GAT1	DYSM,MMG	DYSM_v1,MMG_v1
B9D1	RGDI+	RGDI+_v1
B9D2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
BAAT	POLYM	POLYM_v1
BAG3	DYSM,MMG	DYSM_v1,MMG_v1
BBS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS10	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS12	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BBS9	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCAP31	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCAS3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
BCAT2	POLYM	POLYM_v1
BCKDHA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCKDHB	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCKDK	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCL11A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCL11B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCOR	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BCORL1	RGDI+	RGDI+_v1
BCS1L	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BFSP2	POLYM	POLYM_v1
BGN	POLYM	POLYM_v1
BHLHA9	POLYM	POLYM_v1
BICD2	POLYM	POLYM_v1
BICRA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
BIN1	MMG,MYOC,POLYM	MMG_v1,MYOC_v1,POLYM_v1
BLM	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BLOC1S1	RGDI+	RGDI+_v1
BMP1	POLYM	POLYM_v1
BMP2	POLYM	POLYM_v1
BMP4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BMPER	POLYM	POLYM_v1
BMPR1B	POLYM	POLYM_v1
BNC2	POLYM	POLYM_v1
BOLA3	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BPNT2	POLYM	POLYM_v1
BPTF	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BRAF	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BRAT1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BRCA1	POLYM	POLYM_v1
BRCA2	POLYM	POLYM_v1
BRD4	RGDI,RGDI+	RGDI+_v1,RGDI_v1,RGDI_v2
BRF1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BRIP1	POLYM	POLYM_v1
BRPF1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BRSK2	RGDI,RGDI+	RGDI+_v1,RGDI_v1,RGDI_v2
BRWD3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BSCL2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BSND	POLYM,RGDI+	POLYM_v1,RGDI+_v1
BTD	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BUB1B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
BVES	DYSM,MMG	DYSM_v1,MMG_v1
C12orf4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
C12orf57	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
C12orf65	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
C19orf12	POLYM	POLYM_v1
C1QBP	MITN,POLYM	MITN_v1,POLYM_v1
C2CD3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
C8orf37	POLYM,RGDI+	POLYM_v1,RGDI+_v1
CA2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CA5A	MITN,POLYM	MITN_v1,POLYM_v1
CA8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1C	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1D	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1E	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1G	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CACNA1I	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CACNA1S	HYPM,MMG,MYOC,RHAB	HYPM_v1,MMG_v1,MYOC_v1,RHAB_v1
CACNA2D1	RGDI+	RGDI+_v1
CACNA2D2	RGDI+	RGDI+_v1
CAD	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CAMK2A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CAMK2B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CAMK2G	RGDI+	RGDI+_v1
CAMK4	RGDI,RGDI+	RGDI+_v1,RGDI_v2
CAMTA1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CANT1	POLYM	POLYM_v1
CAPN15	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CAPN3	DYSM,MMG	DYSM_v1,MMG_v1
CAPZA2	RGDI+	RGDI+_v1
CARS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CARS2	MITN,POLYM,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1
CASK	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CASQ1	DYSM,MMG,MYOC	DYSM_v1,MMG_v1,MYOC_v1
CASR	POLYM,RGDI+	POLYM_v1,RGDI+_v1
CAT	POLYM	POLYM_v1
CAV3	DYSM,MMG,RHAB	DYSM_v1,MMG_v1,RHAB_v1
CBL	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CBLIF	POLYM	POLYM_v1
CBS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CC2D1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CC2D2A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CCBE1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CCDC103	POLYM	POLYM_v1
CCDC114	POLYM	POLYM_v1
CCDC115	POLYM	POLYM_v1
CCDC186	RGDI+	RGDI+_v1
CCDC22	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CCDC32	RGDI+	RGDI+_v1
CCDC39	POLYM	POLYM_v1
CCDC40	POLYM	POLYM_v1
CCDC47	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
